YEAR,REPDTE,REPDTE_CLEAN,NAME,CERT,CITY,STALP,ASSET,DEP,ROA,ROE,NIM_PERCENT,NIM_DOLLARS,EEFFR,NALTOT,NAASSET,HAS_FULL_HISTORY
2020,20200331,3/31/2020,SMARTBANK,58463,PIGEON FORGE,TN,2872592,2353663,0.54855466,4.16,3.839594848,23154,68.44903305,0,3060,Y
2022,20220331,3/31/2022,SMARTBANK,58463,PIGEON FORGE,TN,4718499,4201280,0.794106232,8.05,2.907577341,30806,65.27722746,0,3342,Y
2024,20240331,3/31/2024,SMARTBANK,58463,PIGEON FORGE,TN,4951697,4397341,0.845332825,8.2,2.934816679,32747,67.32560119,,6171,Y
2026,20260331,3/31/2026,SMARTBANK,58463,PIGEON FORGE,TN,5900269,5200942,1.041906305,9.6,3.520783334,47740,57.80851446,,12257,Y
2022,20220331,3/31/2022,SOUTH ATLANTIC BANK,58689,MYRTLE BEACH,SC,1292766,1182490,0.790702895,9.75,3.269752912,9598,72.59836604,0,0,N
2024,20240331,3/31/2024,SOUTH ATLANTIC BANK,58689,MYRTLE BEACH,SC,1666789,1345463,0.591664629,7.77,2.708615917,10359,72.71145144,,25,N
2026,20260331,3/31/2026,SOUTH ATLANTIC BANK,58689,MYRTLE BEACH,SC,1929221,1596546,1.045914785,12.29,3.233054831,14552,59.99135749,,0,N
2020,20200331,3/31/2020,SOUTHEAST BANK,57348,FARRAGUT,TN,1860972,1677034,0.626945537,7.06,3.537053594,15038,64.89843297,0,1888,Y
2022,20220331,3/31/2022,SOUTHEAST BANK,57348,FARRAGUT,TN,2421376,2191524,0.894891531,10.62,3.187519379,17271,66.18111439,0,1275,Y
2024,20240331,3/31/2024,SOUTHEAST BANK,57348,FARRAGUT,TN,2861069,2570905,0.847425913,10.15,3.630838927,24645,67.51902588,,1202,Y
2026,20260331,3/31/2026,SOUTHEAST BANK,57348,FARRAGUT,TN,3578112,3232140,0.601189235,7.19,3.329052416,27707,72.54995567,,1647,Y
2020,20200331,3/31/2020,SOUTHERN FIRST BANK,35295,GREENVILLE,SC,2371877,2036749,0.55663066,5.47,3.410265188,18617,57.6298091,0,9933,Y
2022,20220331,3/31/2022,SOUTHERN FIRST BANK,35295,GREENVILLE,SC,3072531,2729012,1.108816081,11.03,3.373281366,23694,56.07605813,0,4533,Y
2024,20240331,3/31/2024,SOUTHERN FIRST BANK,35295,GREENVILLE,SC,4106376,3478524,0.294610856,3.53,1.991996185,19236,81.6525132,,3646,Y
2026,20260331,3/31/2026,SOUTHERN FIRST BANK,35295,GREENVILLE,SC,4581505,3890994,0.914782509,10.48,2.883540015,30756,58.72816498,,11469,Y
2026,20260331,3/31/2026,STUDIO BANK,59112,NASHVILLE,TN,1356213,1183633,0.576722966,6.18,3.277894899,10021,68.35229293,,2484,N
2022,20220331,3/31/2022,TENNESSEE STATE BANK,20720,PIGEON FORGE,TN,1010255,929005,0.859601296,11.19,3.212440556,7505,71.80536118,0,1193,N
2020,20200331,3/31/2020,THOMASVILLE NATIONAL BANK,34068,THOMASVILLE,GA,1002299,831895,1.983925301,20.46,3.801143677,9007,47.80785059,0,1773,Y
